pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,81.60±17.08,80.48±14.95,93.40±7.05
CSP+SVM,82.15±17.26,79.18±15.85,93.04±7.22
DLCSPauto+shLDA,81.64±17.26,80.35±14.86,92.93±6.99
FgMDM,85.70±13.40,79.33±15.54,92.35±7.40
LogVariance+LDA,77.40±16.28,78.88±15.16,88.02±11.15
LogVariance+SVM,75.55±17.90,78.49±15.41,88.80±8.61
MDM,80.48±16.97,77.97±15.58,90.62±6.60
TRCSP+LDA,79.26±16.84,79.45±15.94,93.31±6.43
TS+EL,86.20±14.22,80.09±15.34,94.64±6.45
TS+LR,86.67±13.93,80.20±15.29,94.44±6.18
TS+SVM,86.07±14.33,79.09±16.04,93.26±6.71
