pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,83.38±16.77,79.98±15.53,93.98±6.47
CSP+SVM,83.29±16.34,79.26±16.05,93.64±7.27
DLCSPauto+shLDA,83.47±16.59,79.85±15.66,92.85±7.15
FgMDM,86.80±12.83,79.41±15.60,93.28±5.93
LogVariance+LDA,78.10±15.52,79.01±14.98,89.17±9.66
LogVariance+SVM,76.75±16.82,78.64±15.16,88.60±8.09
MDM,80.67±17.07,77.90±15.99,90.10±7.25
TRCSP+LDA,79.91±16.71,79.68±15.82,93.28±7.14
TS+EL,86.74±13.43,80.13±15.33,95.05±5.11
TS+LR,87.49±12.77,80.20±15.28,95.02±5.01
TS+SVM,86.86±13.71,79.58±15.79,94.02±5.45
