pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,82.65±16.80,79.91±15.40,92.47±7.22
CSP+SVM,82.69±16.00,79.07±16.07,92.98±7.72
DLCSPauto+shLDA,82.81±16.42,79.74±15.34,91.91±8.40
FgMDM,85.92±13.50,79.26±15.63,92.13±7.29
LogVariance+LDA,77.08±17.36,78.78±14.97,87.77±10.82
LogVariance+SVM,76.15±17.45,78.61±15.07,87.23±9.80
MDM,81.27±16.28,77.60±16.18,89.75±8.37
TRCSP+LDA,79.56±16.60,79.43±15.87,92.38±8.74
TS+EL,85.69±14.94,79.86±15.44,94.29±6.19
TS+LR,86.09±14.40,80.07±15.32,94.04±6.59
TS+SVM,85.61±14.75,79.44±15.59,93.33±6.12
