pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,82.03±17.12,80.01±15.33,94.15±6.43
CSP+SVM,82.62±17.06,78.66±16.17,94.12±6.14
DLCSPauto+shLDA,82.20±17.11,79.82±15.46,93.60±6.09
FgMDM,86.60±12.75,79.53±15.23,93.04±6.15
LogVariance+LDA,77.71±16.17,78.76±14.93,89.17±9.54
LogVariance+SVM,75.98±17.49,78.25±15.72,89.02±7.61
MDM,81.10±16.00,77.41±16.50,90.75±6.33
TRCSP+LDA,79.26±17.34,79.45±15.66,93.05±7.33
TS+EL,86.58±13.63,79.91±15.38,94.90±5.23
TS+LR,86.94±13.62,80.22±15.10,94.71±5.20
TS+SVM,86.80±14.09,79.51±15.79,94.02±6.52
