pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,77.56±3.13,76.26±1.31,91.36±1.02
CSP+SVM,81.93±2.40,77.81±1.03,92.48±1.98
DLCSPauto+shLDA,77.57±3.13,76.26±1.31,91.42±1.15
FgMDM,83.18±1.63,76.18±1.40,93.22±2.08
LogVariance+LDA,73.90±2.03,75.36±1.29,90.02±1.49
LogVariance+SVM,73.67±2.06,75.43±1.32,90.20±1.38
MDM,62.14±4.07,75.57±1.30,86.72±6.13
TRCSP+LDA,75.77±3.09,76.29±1.65,92.01±1.48
TS+EL,84.75±1.94,76.25±1.38,93.97±1.99
TS+LR,84.74±1.97,76.25±1.38,94.19±2.07
TS+SVM,88.56±0.90,79.36±1.07,94.80±1.89
