pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,77.35±2.00,76.21±0.75,91.98±0.96
CSP+SVM,81.54±1.27,77.85±0.79,93.02±1.02
DLCSPauto+shLDA,77.37±2.02,76.21±0.74,91.99±0.95
FgMDM,82.76±1.79,76.10±0.83,93.97±1.42
LogVariance+LDA,73.83±2.01,75.34±0.63,89.77±1.95
LogVariance+SVM,73.74±2.16,75.38±0.59,90.01±2.03
MDM,62.04±3.67,75.54±0.94,87.10±4.04
TRCSP+LDA,74.78±3.05,76.20±0.86,91.46±1.69
TS+EL,84.41±1.13,76.19±0.77,94.51±1.36
TS+LR,84.41±1.22,76.19±0.77,94.53±1.36
TS+SVM,88.67±0.83,79.42±0.66,95.31±0.83
