pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,77.50±4.27,76.33±0.86,91.42±1.39
CSP+SVM,81.19±2.90,77.95±0.68,92.82±0.82
DLCSPauto+shLDA,77.51±4.31,76.33±0.86,91.47±1.29
FgMDM,83.07±1.79,76.20±0.77,93.57±1.41
LogVariance+LDA,73.71±2.53,75.40±0.82,89.92±1.51
LogVariance+SVM,73.40±2.75,75.50±0.75,90.15±1.22
MDM,62.40±6.55,75.74±0.36,87.11±3.21
TRCSP+LDA,75.18±4.47,76.32±0.68,91.81±1.44
TS+EL,84.83±2.08,76.28±0.70,94.26±1.36
TS+LR,84.79±2.05,76.29±0.70,94.30±1.38
TS+SVM,88.49±1.30,79.55±0.75,94.65±0.59
