pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,83.56±15.22,80.72±13.96,93.11±7.03
CSP+SVM,83.08±14.74,79.64±14.34,93.65±6.43
DLCSPauto+shLDA,83.63±15.54,80.73±13.97,92.89±7.94
FgMDM,83.71±13.86,80.41±14.20,92.04±8.05
LogVariance+LDA,74.95±17.14,79.18±14.00,88.87±8.58
LogVariance+SVM,75.53±15.92,79.12±13.98,88.85±7.90
MDM,79.92±17.21,79.02±14.98,93.24±5.32
TRCSP+LDA,78.45±17.74,80.24±14.20,93.35±5.85
TS+EL,86.23±13.61,80.61±14.13,94.28±6.51
TS+LR,86.05±13.26,80.61±14.14,94.37±6.45
TS+SVM,84.94±13.76,79.92±13.99,93.54±6.84
