pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,83.56±15.22,80.72±13.96,93.11±7.03
CSP+SVM,81.86±17.48,79.74±14.19,93.40±6.35
DLCSPauto+shLDA,83.63±15.54,80.73±13.97,92.89±7.94
FgMDM,83.71±13.86,80.41±14.20,92.04±8.05
LogVariance+LDA,74.95±17.14,79.18±14.00,88.87±8.58
LogVariance+SVM,75.13±16.19,79.22±13.92,88.35±8.16
MDM,79.92±17.21,79.02±14.98,93.24±5.32
TRCSP+LDA,78.45±17.74,80.24±14.20,93.35±5.85
TS+EL,86.06±13.74,80.60±14.14,94.32±6.50
TS+LR,86.05±13.26,80.61±14.14,94.37±6.45
TS+SVM,85.10±13.56,79.63±14.39,93.21±6.74
