pipeline,BNCI2014-001,BNCI2014-004,Zhou2016
CSP+LDA,83.56±15.22,80.72±13.96,93.11±7.03
CSP+SVM,82.94±15.87,79.27±14.67,92.33±7.64
DLCSPauto+shLDA,83.63±15.54,80.73±13.97,92.89±7.94
FgMDM,83.71±13.86,80.41±14.20,92.04±8.05
LogVariance+LDA,74.95±17.14,79.18±14.00,88.87±8.58
LogVariance+SVM,74.98±16.87,79.20±13.90,88.27±8.25
MDM,79.92±17.21,79.02±14.98,93.24±5.32
TRCSP+LDA,78.45±17.74,80.24±14.20,93.35±5.85
TS+EL,86.16±13.51,80.60±14.16,94.49±6.30
TS+LR,86.05±13.26,80.61±14.14,94.37±6.45
TS+SVM,84.67±14.04,79.71±14.32,93.59±6.82
